lat,lon,day_of_year,sst,ssh,sss,temp_50m,temp_100m,temp_200m,temp_500m,is_synthetic,source_region
0.77,61.75,97,31.12,0.719,35.03,29.37,26.53,22.53,16.87,True,Wider Indian Ocean (buffer around India)
5.88,75.27,14,29.26,0.741,34.96,28.14,25.16,21.32,16.47,True,Wider Indian Ocean (buffer around India)
18.93,73.64,99,29.37,0.77,34.94,28.26,25.16,20.93,16.04,True,Arabian Sea
13.31,85.61,332,27.82,0.658,34.69,26.79,24.34,20.34,14.75,True,Bay of Bengal
3.56,81.5,171,28.96,0.727,34.82,27.94,24.8,20.55,15.34,True,Wider Indian Ocean (buffer around India)
8.36,71.87,358,28.96,0.665,35.23,27.97,24.93,21.18,15.96,True,Arabian Sea
6.7,93.67,124,30.08,0.821,34.77,28.99,26.36,22.23,16.93,True,Bay of Bengal
7.69,40.57,221,28.35,0.688,34.69,26.83,24.43,21.43,16.0,True,Wider Indian Ocean (buffer around India)
8.0,88.47,295,28.13,0.679,34.91,27.03,23.68,19.22,14.06,True,Bay of Bengal
7.82,53.3,219,28.45,0.713,34.8,27.37,24.4,20.38,14.86,True,Wider Indian Ocean (buffer around India)
20.01,78.54,246,27.69,0.778,35.08,27.09,24.42,20.32,14.68,True,Wider Indian Ocean (buffer around India)
10.71,91.61,271,27.41,0.778,35.05,26.41,23.03,19.04,13.44,True,Wider Indian Ocean (buffer around India)
8.57,42.41,188,28.76,0.732,34.43,27.61,24.63,20.38,14.92,True,Wider Indian Ocean (buffer around India)
11.73,61.15,364,28.73,0.705,35.07,27.54,24.42,20.16,14.54,True,Arabian Sea
5.79,76.21,144,29.95,0.684,35.14,28.84,25.51,21.62,16.22,True,Wider Indian Ocean (buffer around India)
20.48,72.61,279,27.07,0.643,35.06,26.18,23.05,18.33,13.05,True,Arabian Sea
22.98,74.44,143,28.55,0.79,35.01,27.75,25.04,20.46,15.58,True,Arabian Sea
22.44,68.1,45,28.21,0.692,35.24,27.4,24.25,20.32,15.49,True,Arabian Sea
13.42,66.71,224,28.17,0.719,35.09,26.97,24.09,20.46,14.36,True,Arabian Sea
11.34,65.41,84,30.04,0.738,35.21,28.95,26.16,22.49,17.09,True,Arabian Sea
-1.01,92.28,270,28.37,0.708,34.75,26.94,23.92,20.06,14.3,True,Wider Indian Ocean (buffer around India)
13.67,91.49,188,28.52,0.724,34.91,27.36,23.86,20.17,14.26,True,Bay of Bengal
11.85,97.67,159,29.03,0.707,34.53,28.3,25.26,21.92,16.13,True,Bay of Bengal
9.75,68.75,312,27.97,0.697,35.26,27.01,24.09,19.99,14.61,True,Arabian Sea
11.24,71.47,312,27.73,0.659,35.23,26.36,23.6,20.16,14.63,True,Arabian Sea
3.39,59.49,191,28.8,0.741,35.1,27.31,24.24,20.29,15.08,True,Wider Indian Ocean (buffer around India)
16.05,81.97,96,29.8,0.721,35.01,28.83,26.36,22.37,16.58,True,Bay of Bengal
8.4,71.11,157,29.14,0.84,35.2,27.87,24.95,21.26,15.77,True,Arabian Sea
7.05,99.71,17,29.93,0.746,34.64,28.72,26.69,22.31,16.71,True,Bay of Bengal
22.29,67.9,302,26.89,0.683,35.09,26.32,23.85,19.84,14.28,True,Arabian Sea
19.57,96.2,23,28.35,0.72,34.75,27.35,24.01,19.8,14.14,True,Wider Indian Ocean (buffer around India)
5.38,59.83,157,29.47,0.714,35.14,27.97,24.7,20.36,15.25,True,Wider Indian Ocean (buffer around India)
4.18,70.79,76,30.3,0.79,35.04,28.91,26.54,22.48,16.94,True,Wider Indian Ocean (buffer around India)
8.23,64.6,311,28.49,0.775,35.15,27.36,24.33,20.68,14.93,True,Arabian Sea
20.82,66.85,47,29.01,0.74,35.23,28.41,25.67,22.04,16.32,True,Arabian Sea
19.68,85.69,218,27.23,0.729,35.02,26.11,23.1,18.69,13.18,True,Bay of Bengal
11.24,66.31,191,28.56,0.755,35.29,27.78,25.15,19.8,13.88,True,Arabian Sea
19.95,73.59,355,27.78,0.701,35.21,26.8,23.89,19.86,14.46,True,Arabian Sea
15.7,79.39,27,29.15,0.743,35.06,28.18,25.32,20.8,14.8,True,Wider Indian Ocean (buffer around India)
15.67,67.97,306,26.92,0.707,35.11,25.82,22.74,18.19,12.67,True,Arabian Sea
19.92,67.48,79,29.08,0.721,35.35,27.99,25.63,21.66,16.37,True,Arabian Sea
-3.99,65.68,7,30.03,0.761,35.06,28.72,25.58,21.33,16.05,True,Wider Indian Ocean (buffer around India)
22.84,67.63,167,28.36,0.678,35.27,27.65,24.58,20.65,15.27,True,Arabian Sea
19.11,60.07,355,27.88,0.723,34.82,26.67,23.74,18.62,13.38,True,Arabian Sea
12.82,60.86,310,27.19,0.735,35.05,26.07,23.53,20.08,14.12,True,Arabian Sea
10.3,70.1,206,28.88,0.729,35.5,27.53,24.48,20.1,14.76,True,Arabian Sea
18.08,62.14,355,27.67,0.749,35.1,26.5,23.57,19.29,13.56,True,Arabian Sea
-1.74,77.86,324,28.54,0.638,35.19,27.41,24.83,20.96,15.73,True,Wider Indian Ocean (buffer around India)
-0.25,74.62,174,29.66,0.771,35.09,28.18,25.19,20.92,14.79,True,Wider Indian Ocean (buffer around India)
-7.09,66.16,207,29.78,0.778,35.11,28.49,25.33,21.27,15.69,True,Wider Indian Ocean (buffer around India)
9.68,61.46,293,28.31,0.68,35.06,27.28,24.43,20.48,15.19,True,Arabian Sea
3.7,57.7,140,30.2,0.738,34.88,29.14,26.28,22.91,17.23,True,Wider Indian Ocean (buffer around India)
13.07,74.34,18,28.31,0.751,35.14,27.41,24.39,19.99,14.13,True,Arabian Sea
17.07,80.98,243,26.68,0.582,35.06,26.09,22.86,18.72,12.85,True,Wider Indian Ocean (buffer around India)
16.32,99.2,43,28.96,0.773,34.64,28.1,25.64,22.04,16.81,True,Bay of Bengal
11.48,75.52,87,29.95,0.785,35.39,28.74,26.19,21.88,16.49,True,Arabian Sea
13.35,76.67,149,28.82,0.732,35.14,28.03,25.43,21.15,15.99,True,Arabian Sea
18.15,92.22,200,27.88,0.732,34.71,26.73,23.99,19.85,14.98,True,Bay of Bengal
16.09,92.86,307,27.63,0.724,34.69,26.47,24.04,20.39,14.67,True,Bay of Bengal
6.06,92.98,219,28.46,0.712,34.62,27.47,24.69,20.8,14.67,True,Bay of Bengal
18.92,87.88,29,28.36,0.765,34.75,27.07,23.94,19.7,14.28,True,Bay of Bengal
23.93,71.66,118,28.57,0.784,35.09,27.78,25.07,21.08,15.81,True,Arabian Sea
16.8,88.76,296,27.06,0.657,34.81,26.0,23.27,19.69,14.02,True,Bay of Bengal
23.71,64.91,159,28.03,0.704,35.01,27.15,24.12,20.05,14.55,True,Arabian Sea
21.71,63.15,300,26.45,0.665,35.33,25.48,22.73,18.78,13.22,True,Arabian Sea
13.03,61.97,229,27.81,0.712,34.95,26.97,24.25,19.99,14.89,True,Arabian Sea
10.27,67.08,301,27.33,0.737,35.18,26.45,23.56,19.55,14.02,True,Arabian Sea
17.86,69.02,90,28.83,0.699,35.42,28.03,25.19,21.12,15.85,True,Arabian Sea
-2.08,50.92,39,30.68,0.796,34.94,29.2,26.18,21.66,16.23,True,Wider Indian Ocean (buffer around India)
11.31,62.93,285,27.82,0.671,34.9,26.67,23.89,19.63,14.04,True,Wider Indian Ocean (buffer around India)
18.92,60.62,216,27.75,0.742,35.15,27.07,24.12,20.17,14.67,True,Wider Indian Ocean (buffer around India)
21.38,88.35,58,29.1,0.727,34.83,28.51,25.96,22.12,16.53,True,Bay of Bengal
-6.06,48.85,285,29.69,0.776,34.8,28.35,25.88,22.19,16.55,True,Wider Indian Ocean (buffer around India)
14.3,75.09,217,28.1,0.716,34.82,26.84,23.8,19.7,13.88,True,Arabian Sea
20.52,67.65,73,29.17,0.71,35.13,28.31,25.87,21.59,16.16,True,Arabian Sea
15.17,83.17,258,26.91,0.643,35.12,25.84,23.36,19.4,14.06,True,Wider Indian Ocean (buffer around India)
24.78,94.46,99,28.41,0.732,34.74,27.3,24.56,20.07,14.78,True,Wider Indian Ocean (buffer around India)
15.6,80.93,195,28.41,0.705,35.1,27.58,25.29,21.29,15.62,True,Bay of Bengal
20.81,63.05,187,27.79,0.715,35.26,26.65,23.95,19.85,13.95,True,Arabian Sea
7.27,90.37,230,27.84,0.723,34.78,26.14,23.06,19.02,13.48,True,Bay of Bengal
17.41,75.71,206,27.41,0.679,35.06,26.13,23.27,19.06,13.74,True,Arabian Sea
6.42,96.49,220,28.32,0.645,34.56,27.11,23.85,19.6,13.84,True,Bay of Bengal
19.12,66.88,340,27.69,0.634,35.13,27.15,24.51,20.7,14.72,True,Arabian Sea
13.84,91.53,271,27.11,0.712,34.82,26.02,23.0,18.68,13.13,True,Bay of Bengal
8.67,61.75,23,29.37,0.682,35.07,28.25,25.17,20.95,15.13,True,Arabian Sea
23.85,73.96,69,28.92,0.746,35.23,28.18,25.77,21.84,16.45,True,Arabian Sea
11.43,95.82,129,29.43,0.812,34.76,28.13,25.86,21.83,16.24,True,Bay of Bengal
10.24,60.5,63,29.92,0.776,35.0,28.76,25.42,21.56,16.25,True,Arabian Sea
14.98,72.21,181,28.61,0.714,35.12,27.66,24.8,20.44,15.18,True,Wider Indian Ocean (buffer around India)
11.82,76.11,133,29.28,0.753,34.96,27.99,24.9,20.89,15.97,True,Arabian Sea
19.29,89.44,120,28.89,0.792,34.85,27.88,25.08,21.04,15.42,True,Bay of Bengal
21.03,91.0,131,28.66,0.746,34.7,27.96,25.13,21.0,15.9,True,Bay of Bengal
-7.54,67.47,317,29.42,0.734,35.12,28.03,25.54,22.29,16.98,True,Wider Indian Ocean (buffer around India)
17.4,89.51,147,28.66,0.662,34.76,27.6,24.32,20.27,15.06,True,Bay of Bengal
15.87,83.51,174,27.99,0.702,35.09,27.05,24.24,20.43,14.63,True,Bay of Bengal
3.41,53.89,222,28.93,0.671,34.92,27.62,24.88,21.3,15.59,True,Wider Indian Ocean (buffer around India)
23.27,68.14,160,28.65,0.701,35.07,27.97,24.62,20.66,15.32,True,Wider Indian Ocean (buffer around India)
-0.42,48.75,275,28.31,0.686,34.73,27.38,24.47,20.58,15.14,True,Wider Indian Ocean (buffer around India)
18.7,74.46,229,27.64,0.686,35.19,26.72,24.46,19.8,14.22,True,Wider Indian Ocean (buffer around India)
17.54,71.52,206,27.61,0.681,35.1,26.72,23.53,19.13,14.36,True,Arabian Sea
16.91,62.28,29,28.58,0.74,35.29,27.42,24.58,20.03,14.36,True,Arabian Sea
6.17,80.72,85,30.39,0.795,35.03,29.29,26.39,21.66,16.19,True,Bay of Bengal
6.27,95.17,2,29.05,0.703,34.86,27.83,24.38,19.82,15.01,True,Bay of Bengal
8.46,65.83,73,29.78,0.727,35.24,28.4,25.66,21.14,15.72,True,Arabian Sea
11.74,71.91,76,29.51,0.768,35.12,28.39,25.83,21.13,15.22,True,Arabian Sea
8.43,84.06,44,29.92,0.79,35.07,28.57,25.8,21.8,15.94,True,Bay of Bengal
14.99,66.94,79,29.8,0.807,35.01,28.77,25.64,22.11,16.63,True,Arabian Sea
-4.95,77.93,174,30.11,0.789,34.9,28.59,25.46,21.03,15.64,True,Wider Indian Ocean (buffer around India)
4.94,62.59,187,29.1,0.762,34.9,28.07,25.54,21.51,15.57,True,Wider Indian Ocean (buffer around India)
19.07,94.99,120,29.16,0.715,34.59,28.09,25.4,21.16,15.87,True,Bay of Bengal
21.47,88.66,277,26.66,0.617,34.93,25.75,22.81,18.56,12.88,True,Bay of Bengal
12.47,50.25,346,27.64,0.761,34.74,26.91,23.99,19.46,14.08,True,Wider Indian Ocean (buffer around India)
8.68,71.35,72,29.85,0.741,35.2,28.83,26.06,21.65,16.27,True,Arabian Sea
18.25,84.12,238,27.19,0.743,34.8,26.61,24.01,19.42,14.4,True,Bay of Bengal
5.1,96.37,108,30.75,0.749,34.69,29.52,26.97,22.93,17.92,True,Bay of Bengal
10.65,85.1,165,29.35,0.748,34.96,28.4,25.6,20.84,15.9,True,Bay of Bengal
11.68,81.44,3,29.17,0.712,34.87,28.35,25.62,22.16,16.46,True,Bay of Bengal
19.19,65.06,281,26.43,0.709,35.02,25.89,23.22,19.84,14.13,True,Wider Indian Ocean (buffer around India)
12.7,75.56,191,28.67,0.74,34.99,27.6,25.09,20.62,15.25,True,Arabian Sea
10.96,69.25,128,29.49,0.765,35.39,28.31,25.83,22.01,15.78,True,Wider Indian Ocean (buffer around India)
10.6,81.97,153,29.82,0.739,34.85,28.74,25.37,21.64,16.18,True,Bay of Bengal
4.18,91.27,189,29.11,0.796,34.85,28.13,25.36,21.34,15.71,True,Wider Indian Ocean (buffer around India)
17.18,48.29,173,28.58,0.733,34.73,27.71,24.97,21.37,16.04,True,Wider Indian Ocean (buffer around India)
10.86,95.15,78,29.96,0.85,34.78,28.89,26.48,22.28,16.55,True,Bay of Bengal
16.58,54.02,157,28.76,0.759,34.86,27.58,24.71,21.13,15.64,True,Wider Indian Ocean (buffer around India)
2.3,68.99,254,28.54,0.713,35.22,27.35,24.14,19.99,15.05,True,Wider Indian Ocean (buffer around India)
14.0,87.48,119,29.78,0.764,34.88,28.86,25.82,22.51,17.08,True,Bay of Bengal
-2.68,40.78,339,28.87,0.736,34.65,27.41,24.05,19.96,14.47,True,Wider Indian Ocean (buffer around India)
7.35,91.59,107,29.97,0.727,34.76,29.07,26.18,21.95,16.6,True,Bay of Bengal
-7.2,90.05,160,30.54,0.827,34.84,29.22,26.51,22.36,17.28,True,Wider Indian Ocean (buffer around India)
19.92,75.72,49,28.76,0.741,34.96,27.83,24.6,21.2,15.79,True,Arabian Sea
8.21,59.18,156,29.42,0.739,34.87,28.05,25.13,21.12,15.59,True,Wider Indian Ocean (buffer around India)
-1.2,90.18,184,29.47,0.722,34.84,28.18,25.11,20.8,15.11,True,Wider Indian Ocean (buffer around India)
1.3,86.12,156,30.38,0.736,34.89,29.33,26.19,21.72,16.14,True,Wider Indian Ocean (buffer around India)
18.74,62.78,363,28.57,0.704,34.92,27.48,25.21,21.01,15.54,True,Arabian Sea
9.7,72.35,289,27.59,0.724,35.36,26.16,23.65,20.41,15.02,True,Arabian Sea
13.25,80.3,288,27.64,0.717,34.99,26.57,24.06,19.55,13.63,True,Bay of Bengal
10.22,86.53,336,28.36,0.699,34.82,27.33,24.37,20.07,14.69,True,Wider Indian Ocean (buffer around India)
0.15,75.52,7,30.12,0.853,35.09,28.83,26.09,22.46,17.16,True,Wider Indian Ocean (buffer around India)
23.39,65.09,340,27.22,0.657,35.19,26.45,23.37,18.77,12.63,True,Arabian Sea
20.4,89.88,249,26.65,0.675,34.69,26.13,23.42,18.34,13.19,True,Bay of Bengal
6.51,96.34,187,28.52,0.671,34.74,27.37,24.06,19.89,14.33,True,Bay of Bengal
12.97,96.38,211,28.01,0.726,34.65,27.28,24.81,20.68,15.17,True,Wider Indian Ocean (buffer around India)
13.58,88.51,106,30.27,0.741,34.86,29.56,26.19,22.26,16.99,True,Bay of Bengal
19.43,93.39,107,29.18,0.809,34.55,28.76,25.79,22.57,17.56,True,Bay of Bengal
16.34,89.58,176,28.56,0.75,34.78,27.71,24.95,20.63,15.46,True,Bay of Bengal
13.07,61.88,139,29.52,0.843,34.87,28.88,25.91,21.53,16.14,True,Arabian Sea
12.57,86.64,180,28.64,0.691,34.9,27.62,24.21,19.9,14.39,True,Bay of Bengal
11.2,76.88,67,29.88,0.792,34.95,29.04,26.1,22.22,16.54,True,Arabian Sea
10.86,73.53,273,27.62,0.657,35.22,26.86,24.34,20.59,15.54,True,Wider Indian Ocean (buffer around India)
15.88,94.04,101,29.31,0.703,34.83,28.94,26.28,21.9,16.12,True,Bay of Bengal
12.1,49.15,55,29.9,0.843,34.78,29.0,26.44,22.5,16.93,True,Wider Indian Ocean (buffer around India)
14.54,64.15,15,28.4,0.741,35.06,27.09,23.61,19.66,14.2,True,Arabian Sea
8.1,49.59,222,28.83,0.71,34.84,27.44,24.46,20.49,14.85,True,Wider Indian Ocean (buffer around India)
-3.64,93.36,230,29.23,0.765,34.82,27.61,24.43,20.11,15.02,True,Wider Indian Ocean (buffer around India)
18.03,91.62,99,29.19,0.721,34.81,28.18,25.19,21.5,16.01,True,Wider Indian Ocean (buffer around India)
13.21,60.63,60,29.43,0.758,35.01,28.31,24.73,20.34,14.43,True,Arabian Sea
12.0,92.54,272,27.8,0.699,34.77,26.93,23.88,19.46,13.97,True,Bay of Bengal
10.92,87.14,224,27.94,0.693,34.76,26.87,24.57,20.47,14.93,True,Bay of Bengal
18.5,75.17,198,28.06,0.784,35.05,27.02,24.55,20.24,14.94,True,Arabian Sea
-6.86,66.91,98,32.07,0.868,35.28,30.94,28.12,24.46,19.12,True,Wider Indian Ocean (buffer around India)
7.95,86.34,135,30.41,0.726,34.97,29.23,26.41,21.46,15.85,True,Bay of Bengal
16.12,82.99,86,29.29,0.786,34.91,28.39,25.4,21.38,15.72,True,Wider Indian Ocean (buffer around India)
14.4,84.68,266,27.46,0.724,34.89,26.51,23.4,18.85,13.09,True,Bay of Bengal
18.59,66.15,203,27.75,0.678,35.02,26.78,23.9,19.46,14.0,True,Arabian Sea
20.84,84.87,358,27.79,0.664,34.97,26.66,23.9,19.92,14.64,True,Bay of Bengal
16.18,40.68,138,29.3,0.758,34.68,28.3,25.42,21.82,16.45,True,Wider Indian Ocean (buffer around India)
8.89,72.64,290,27.75,0.666,35.07,26.96,24.43,20.27,14.88,True,Arabian Sea
21.32,70.57,219,27.17,0.674,35.21,26.93,23.61,19.23,13.74,True,Arabian Sea
12.33,60.51,15,28.98,0.78,35.07,28.18,25.5,20.62,15.22,True,Arabian Sea
14.38,63.0,301,27.19,0.647,35.09,26.57,23.44,18.61,13.64,True,Arabian Sea
8.11,95.85,72,30.23,0.761,34.65,29.23,26.39,22.48,16.65,True,Bay of Bengal
6.0,82.51,349,28.53,0.74,35.15,27.35,24.33,20.39,14.74,True,Bay of Bengal
17.59,60.32,183,28.34,0.733,35.0,27.46,24.85,20.4,15.05,True,Arabian Sea
11.37,85.59,54,29.47,0.8,34.54,28.67,25.77,21.54,15.98,True,Bay of Bengal
7.5,97.7,137,29.75,0.813,34.78,28.76,25.75,21.43,15.67,True,Bay of Bengal
20.56,76.72,272,27.51,0.665,35.07,26.86,24.27,20.13,14.62,True,Arabian Sea
9.83,66.75,22,28.72,0.762,35.03,27.79,25.03,20.23,14.93,True,Arabian Sea
17.21,91.87,97,29.85,0.781,34.84,29.12,26.23,21.42,15.66,True,Wider Indian Ocean (buffer around India)
15.34,76.89,259,27.37,0.617,35.0,26.21,23.86,19.55,14.24,True,Arabian Sea
17.38,90.1,174,28.18,0.757,34.86,27.22,24.71,21.05,15.51,True,Bay of Bengal
-2.19,53.67,338,28.78,0.789,35.05,27.45,24.63,20.43,15.01,True,Wider Indian Ocean (buffer around India)
14.7,68.19,196,28.39,0.767,35.17,27.81,25.05,20.69,15.0,True,Arabian Sea
5.1,51.98,108,30.92,0.824,34.79,29.54,26.1,22.24,17.15,True,Wider Indian Ocean (buffer around India)
18.23,61.88,111,29.57,0.741,34.97,28.41,25.23,21.56,16.6,True,Arabian Sea
-9.45,64.83,330,30.0,0.733,35.05,28.29,25.52,22.23,16.58,True,Wider Indian Ocean (buffer around India)
24.79,85.8,232,26.91,0.672,34.89,25.97,23.17,19.14,13.58,True,Wider Indian Ocean (buffer around India)
14.65,76.32,147,28.95,0.698,35.18,27.82,24.57,20.98,16.38,True,Arabian Sea
15.55,92.33,291,27.78,0.703,34.78,26.57,23.89,20.02,14.4,True,Bay of Bengal
11.79,63.61,311,27.43,0.713,35.11,26.46,23.36,19.03,13.52,True,Arabian Sea
15.4,71.09,104,29.54,0.815,35.02,28.9,26.08,22.13,17.23,True,Arabian Sea
12.42,99.38,328,27.81,0.747,34.61,26.82,23.7,19.08,13.53,True,Bay of Bengal
9.78,86.95,96,30.28,0.817,34.98,28.97,26.26,22.57,16.9,True,Bay of Bengal
7.6,94.8,224,28.23,0.705,34.54,26.95,23.61,19.21,13.62,True,Bay of Bengal
2.57,91.26,290,28.49,0.639,34.77,27.1,24.68,20.02,13.58,True,Wider Indian Ocean (buffer around India)
-9.25,75.04,307,29.25,0.76,35.04,27.88,24.8,21.23,16.02,True,Wider Indian Ocean (buffer around India)
13.49,65.7,72,29.84,0.755,35.02,28.47,26.37,22.63,17.24,True,Wider Indian Ocean (buffer around India)
24.84,61.16,264,26.28,0.657,34.88,25.54,22.98,18.99,13.12,True,Wider Indian Ocean (buffer around India)
10.03,96.41,292,27.55,0.676,34.66,26.68,24.76,20.96,15.05,True,Bay of Bengal
6.32,46.45,180,29.85,0.798,34.65,28.92,26.39,22.27,16.52,True,Wider Indian Ocean (buffer around India)
20.83,63.44,153,29.24,0.76,35.08,28.46,25.98,22.22,16.7,True,Arabian Sea
5.55,83.36,359,28.62,0.677,34.96,27.48,24.57,21.16,15.53,True,Bay of Bengal
20.39,76.2,135,29.14,0.829,35.15,28.28,25.48,21.2,15.5,True,Arabian Sea
12.92,40.65,43,29.2,0.726,34.6,28.43,25.24,21.16,15.53,True,Wider Indian Ocean (buffer around India)
21.05,58.53,55,28.61,0.771,34.98,27.85,25.04,21.36,15.94,True,Wider Indian Ocean (buffer around India)
4.31,91.05,286,27.97,0.725,34.83,26.56,23.53,19.87,14.39,True,Wider Indian Ocean (buffer around India)
10.74,64.22,30,28.78,0.796,35.05,27.56,24.75,20.5,15.39,True,Arabian Sea
12.86,76.98,249,27.47,0.673,35.04,26.46,23.19,19.17,14.08,True,Arabian Sea
16.16,86.56,194,28.39,0.724,34.83,27.43,24.51,20.65,15.18,True,Bay of Bengal
18.68,78.9,143,28.9,0.758,34.9,28.11,24.88,20.83,15.41,True,Wider Indian Ocean (buffer around India)
7.51,98.46,259,28.04,0.662,34.7,26.78,23.79,19.86,14.97,True,Bay of Bengal
10.98,94.28,260,27.94,0.709,34.75,26.93,23.86,20.02,14.52,True,Wider Indian Ocean (buffer around India)
